causa;severidade;ssot_sigla;pastas_afetadas;acao_recomendada
A_COMPOSITE_SPLIT;ALTA;SES/SUSAM;SES;"Consolidar pastas [SES] em única canonical 'SESSUSAM' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
A_COMPOSITE_SPLIT;ALTA;FUAM/FUHAM;FUAM|FUHAM;"Consolidar pastas [FUAM, FUHAM] em única canonical 'FUAMFUHAM' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
A_COMPOSITE_SPLIT;ALTA;FAAR/SEDEL;SEDEL|FAAR;"Consolidar pastas [FAAR, SEDEL] em única canonical 'FAARSEDEL' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
A_COMPOSITE_SPLIT;ALTA;BANCO MASTER;MASTER;"Consolidar pastas [MASTER] em única canonical 'BANCOMASTER' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
A_COMPOSITE_SPLIT;ALTA;IKM DE;IKM;"Consolidar pastas [IKM] em única canonical 'IKMDE' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
A_COMPOSITE_SPLIT;ALTA;B23 TECNOLOGIA;B23;"Consolidar pastas [B23] em única canonical 'B23TECNOLOGIA' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
A_COMPOSITE_SPLIT;ALTA;PSA TECHNOLOGY;PSA;"Consolidar pastas [PSA] em única canonical 'PSATECHNOLOGY' (ou manter como filhas e fazer profiles.json apontar para múltiplas)"
C_SSOT_SEM_PASTA;ALTA;ASSOC. DE GESTÃO INOVAÇÃO E RES. EM SAÚDE;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;_metadata;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;UGPI;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;FMPES;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;BAIXA;SEJEL;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;SETRAB;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;AADESAM;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;FJJA;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;BANCO DAYCOVAL;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;BRADESCO;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;SALUX;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
C_SSOT_SEM_PASTA;ALTA;BRADESCO FINANCIAMENTO;;"Criar pasta _CONSOLIDADO vazia (com 9 subpastas) OU marcar sigla como inativa no profiles.json"
D_PASTA_ORFA_CONS;ALTA;;ALEAM_CONSOLIDADO;"Decisão: (1) adicionar 'ALEAM' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;AMAZONASTUR_CONSOLIDADO;"Decisão: (1) adicionar 'AMAZONASTUR' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;ASSOC_SAUDE_CONSOLIDADO;"Decisão: (1) adicionar 'ASSOC_SAUDE' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;CIAMA_CONSOLIDADO;"Decisão: (1) adicionar 'CIAMA' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;DEFESA_CIVIL_CONSOLIDADO;"Decisão: (1) adicionar 'DEFESA_CIVIL' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;FAPEAM_CONSOLIDADO;"Decisão: (1) adicionar 'FAPEAM' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;FEPIAM_CONSOLIDADO;"Decisão: (1) adicionar 'FEPIAM' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;IMPRENSA_OFICIAL_CONSOLIDADO;"Decisão: (1) adicionar 'IMPRENSA_OFICIAL' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;JUCEA_CONSOLIDADO;"Decisão: (1) adicionar 'JUCEA' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;PGJ_CONSOLIDADO;"Decisão: (1) adicionar 'PGJ' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;PROCON_CONSOLIDADO;"Decisão: (1) adicionar 'PROCON' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;SECOM_CONSOLIDADO;"Decisão: (1) adicionar 'SECOM' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;SEDURB_CONSOLIDADO;"Decisão: (1) adicionar 'SEDURB' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;SEPA_CONSOLIDADO;"Decisão: (1) adicionar 'SEPA' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;SUBCOMADEC_CONSOLIDADO;"Decisão: (1) adicionar 'SUBCOMADEC' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;TCE_CONSOLIDADO;"Decisão: (1) adicionar 'TCE' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;UEA_CONSOLIDADO;"Decisão: (1) adicionar 'UEA' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_CONS;ALTA;;UGPE_CONSOLIDADO;"Decisão: (1) adicionar 'UGPE' ao profiles.json, (2) renomear para sigla SSOT existente, ou (3) arquivar em _ARQUIVO_ORFA/"
D_PASTA_ORFA_DOS;MEDIA;;ALEAM_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/ALEAM_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;AMAZONASTUR_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/AMAZONASTUR_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;ASSOC_SAUDE_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/ASSOC_SAUDE_DOSSIE ou remapear"
